WinPCT,PointsPG,OppPointsPG,3PT%,Conference,MadePlayoffs
0.75,120,108,0.362,West,1
0.755,117,109,0.349,East,1
0.648,115,108,0.363,East,1
0.704,118,112,0.347,West,1
0.636,118,112,0.378,East,1
0.636,120,116,0.395,West,1
0.618,120,116,0.358,East,1
0.623,115,110,0.37,West,1
0.611,116,116,0.35,West,1
0.582,114,112,0.344,East,1
0.607,120,115,0.375,West,1
0.556,116,116,0.356,East,1
0.528,115,115,0.342,East,1
0.582,114,112,0.364,West,1
0.518,120,117,0.36,East,1
0.527,116,114,0.362,West,1
0.473,116,114,0.373,East,0
0.482,116,118,0.342,West,0
0.464,117,119,0.37,East,0
0.481,112,112,0.365,West,0
0.377,115,117,0.351,West,0
0.436,117,121,0.367,East,0
0.352,114,117,0.342,West,0
0.434,112,115,0.392,East,0
0.321,118,126,0.35,West,0
0.283,108,115,0.344,East,0
0.268,115,120,0.345,West,0
0.273,111,119,0.347,East,0
0.214,110,121,0.342,West,0
0.264,112,123,0.354,East,0
