MadePlayoffs_orig,MadePlayoffs_predicted,0_predicted_proba,1_predicted_proba,3PT%,WinPCT_orig,PointsPG_orig,OppPointsPG_orig,Conference_orig
1,1,0.010749609,0.989250391,0.362,0.75,120,108,West
1,1,0.015821781,0.984178219,0.349,0.755,117,109,East
1,1,0.011324757,0.988675243,0.363,0.648,115,108,East
1,1,0.01948979,0.98051021,0.347,0.704,118,112,West
1,1,0.014470397,0.985529603,0.378,0.636,118,112,East
1,1,0.018201102,0.981798898,0.395,0.636,120,116,West
1,1,0.014643549,0.985356451,0.358,0.618,120,116,East
1,1,0.014525335,0.985474665,0.37,0.623,115,110,West
1,1,0.018537414,0.981462586,0.35,0.611,116,116,West
1,1,0.028074033,0.971925967,0.344,0.582,114,112,East
1,1,0.040942302,0.959057698,0.375,0.607,120,115,West
1,1,0.11351967,0.88648033,0.356,0.556,116,116,East
1,1,0.186114247,0.813885753,0.342,0.528,115,115,East
1,1,0.032692725,0.967307275,0.364,0.582,114,112,West
1,1,0.124211512,0.875788488,0.36,0.518,120,117,East
1,1,0.135449854,0.864550146,0.362,0.527,116,114,West
0,0,0.840287741,0.159712257,0.373,0.473,116,114,East
0,0,0.772229117,0.227770877,0.342,0.482,116,118,West
0,0,0.754510998,0.245489008,0.37,0.464,117,119,East
0,0,0.892761565,0.107238433,0.365,0.481,112,112,West
0,0,0.96264044,0.037359559,0.351,0.377,115,117,West
0,0,0.967557269,0.032442737,0.367,0.436,117,121,East
0,0,0.982730248,0.01726976,0.342,0.352,114,117,West
0,0,0.982919514,0.017080479,0.392,0.434,112,115,East
0,0,0.97153824,0.028461771,0.35,0.321,118,126,West
0,0,0.983336014,0.016663983,0.344,0.283,108,115,East
0,0,0.970912507,0.029087499,0.345,0.268,115,120,West
0,0,0.985570018,0.014429972,0.347,0.273,111,119,East
0,0,0.984364426,0.015635574,0.342,0.214,110,121,West
0,0,0.976296038,0.023703957,0.354,0.264,112,123,East
